IncorrectPhrase,CorrectPhrase
 Fx,Fracture
eggshell,Egg Shell
FX,fracture
Pace maker,Pacemaker
schlater,schlatter
Z پلاستی,زد پلستی
آتل گیری,آتل بندی
آزاد کردن,آزادسازی
آزادکردن,آزادسازی
آمپوتاسیون,آمپوتیشن
آمپوتانسیون,آمپوتیشن
آنستزیا,آنستزی
آکرومیوکلویکولر,آکرومیوکلاویکولار
اتخوان,استخوان
استخوان ها,استخوانها
استخوان های,استخوانهای
استخوانهای nasal,استخوانهای بینی
استوتومی,استئوتومی
امضا,امضاء
امضای,امضاء
انفیلتراتیو,اینفیلتریتیو
اولنار چپ,اولنای چپ
اکسپلورازیسیون,اکسپلوریشن
اکسپلوراسیون,اکسپلوریشن
اکستانسور,اکستنسور
بی هوشی,بیهوشی
پرپ درپ,پرپ و درپ
پرتابل رادیولوژی,رادیولوژی پرتابل
پروگسیمال,پروگزیمال
ترقوه,کلاویکل
تصویر برداریهای,تصویربرداریهای
حد,محدوده
در رفتگی,دررفتگی
دفرمیتی,دفورمیتی
دو طرفه,دو طرف
دیژیتال,دیجیتال
رادیورافی,رادیوگرافی
روده ای,روده
ریلیز,آزادسازی
زنجیره های لنفاوی,زنجیره لنفاوی
زیر جلدی,زیرجلدی
سرفمور,سر فمور
سنوگرافی,سونوگرافی
سین اوستوزیس,سینوستوزیس
سینوستاز,سینوستوزیس
شواهدی,شواهد
غیر طبیعی,غیرطبیعی
فراکچر,فرکچر
فلپ Z,زد پلستی
فوقنی,فوقانی
گرافت,گرفت
لاسراسیون,لسریشن
لسراسیون,لسریشن
لنفوسیتیک,لنفوسایتیک
لنفوسیستیک,لنفوسایتیک
مدیان,مدین
مفصل ها,مفاصل
مفصلها,مفاصل
می‌شود,میشود
میدانهای ریوی,میدان ریه
میلی متر,میلیمتر
نرمال,طبیعی
نروواسکولار,نورووسکولر
نسج,بافت
نم رخ,نیمرخ
نوروواسکولار,نورووسکولر
نیم رخ,نیمرخ
هیپو اکو,هایپواکو
هیپواکو,هایپواکو
هیپوتنار,هایپوتنار
هیپودرم,هایپودرم
وایستاده,و ایستاده
وساعت,و ساعت
کانتراکچر,کانترکچر
کلسیفیکاسیون,کلسیفیکیشن
کنتراکچر,کانترکچر
کونترکچر,کانترکچر
