Term,UMLS_CUI,SemanticTypes,SemanticTypesCode
acetabular fossa,C0223675,Body Location or Region,29
حفره ی حقه ای,C0223675,Body Location or Region,29
گودی حقه ای,C0223675,Body Location or Region,29
fossa,C0223678,Body Location or Region,29
فوسا,C0223678,Body Location or Region,29
گودی فروگیجگاهی,C0223675,Body Location or Region,29
acetabular fossa,C0736014,Body Space or Junction,30
cervical spinal cord,C0581619,"Body Part, Organ, or Organ Component",23
طناب نخاعی,C0581619,"Body Part, Organ, or Organ Component",23
heart,C0018787,"Body Part, Organ, or Organ Component",23
ischial spine,C0223657,"Body Part, Organ, or Organ Component",23
خار نشیمنگاه,C0223657,"Body Part, Organ, or Organ Component",23
خار نشیمنگاهی,C0223657,"Body Part, Organ, or Organ Component",23
تروکانتر کوچک,C0926822,"Body Part, Organ, or Organ Component",23
تروکانتر لسر,C0926822,"Body Part, Organ, or Organ Component",23
تروکانتر,C0926821,"Body Part, Organ, or Organ Component",23
lesser trochanter,C0926822,"Body Part, Organ, or Organ Component",23
lesser trochanter چپ,C0926824,"Body Part, Organ, or Organ Component",23
گره های لنفاوی,C0024204,"Body Part, Organ, or Organ Component",23
گره لنفاوی,C0024204,"Body Part, Organ, or Organ Component",23
lymphatic nodus,C0024204,"Body Part, Organ, or Organ Component",23
lymphatic chain,C1179440,"Body Part, Organ, or Organ Component",23
mediastinum,C0025066,Body Location or Region,29
soft tissue,C0225317,Tissue,24
آرنج,C0013769,Body Location or Region,29
استابولوم چپ,C0735436,"Body Part, Organ, or Organ Component",23
استابولوم راست,C0735437,"Body Part, Organ, or Organ Component",23
استخوان,C0262950,"Body Part, Organ, or Organ Component",23
استخوان اسکاپولا,C0036277,"Body Part, Organ, or Organ Component",23
استخوان بازو,C0823804,"Body Part, Organ, or Organ Component",23
استخوان بینی,C0027422,"Body Part, Organ, or Organ Component",23
استخوان پاتلای,C2334442,"Body Part, Organ, or Organ Component",23
استخوان پاتلا,C2334442,"Body Part, Organ, or Organ Component",23
استخوان پاتلای چپ,C2334443,"Body Part, Organ, or Organ Component",23
استخوان پاتلای راست,C2334444,"Body Part, Organ, or Organ Component",23
استخوان ران,C0015811,"Body Part, Organ, or Organ Component",23
استخوان ساعد,C0223680,"Body Part, Organ, or Organ Component",23
استخوانها,C0262949,"Body Part, Organ, or Organ Component",23
استخوانهای,C0262950,"Body Part, Organ, or Organ Component",23
استخوانهای بینی,C1279057,"Body Part, Organ, or Organ Component",23
استخوانهای بینی دو طرف,C1279057,"Body Part, Organ, or Organ Component",23
استخوانهای کف دست,C0025526,"Body Part, Organ, or Organ Component",23
استخوانی,C0391978,Tissue,24
اسکاپولا,C0507204,"Body Part, Organ, or Organ Component",23
اسکاپولای,C0507204,"Body Part, Organ, or Organ Component",23
اسکاپولای چپ,C0507205,"Body Part, Organ, or Organ Component",23
اسکاپولای راست,C0507206,"Body Part, Organ, or Organ Component",23
اندام,C0015385,"Body Part, Organ, or Organ Component",23
اندام تحتانی,C0023215,"Body Part, Organ, or Organ Component",23
اندام تحتانی راست,C0230414,"Body Part, Organ, or Organ Component",23
اندام تحتانی چپ,C0230416,"Body Part, Organ, or Organ Component",23
اندام فوقانی,C1140618,"Body Part, Organ, or Organ Component",23
اندام فوقانی چپ,C0230330,"Body Part, Organ, or Organ Component",23
اندام فوقانی راست,C0230329,"Body Part, Organ, or Organ Component",23
انگشت اول,C0230397,"Body Part, Organ, or Organ Component",23
انگشت دوم,C0230388,"Body Part, Organ, or Organ Component",23
انگشت چهارم,C0230398,"Body Part, Organ, or Organ Component",23
انگشت سوم,C0230399,"Body Part, Organ, or Organ Component",23
انگشت پنجم,C0230400,"Body Part, Organ, or Organ Component",23
انگشت دوم دست چپ,C0930958,"Body Part, Organ, or Organ Component",23
انگشت دوم دست راست,C0930959,"Body Part, Organ, or Organ Component",23
انگشتان دست,C0016129,"Body Part, Organ, or Organ Component",23
اولنای ,C0816597,"Body Part, Organ, or Organ Component",23
اولنای چپ,C0816599,"Body Part, Organ, or Organ Component",23
اولنای راست,C0816598,"Body Part, Organ, or Organ Component",23
ایسموس,C0229583,"Body Part, Organ, or Organ Component",23
ایلیاک,C1279102,"Body Part, Organ, or Organ Component",23
ایلیاک چپ,C0735431,"Body Part, Organ, or Organ Component",23
ایلیاک راست,C0735430,"Body Part, Organ, or Organ Component",23
بازو,C0446516,Body Location or Region,29
بافت استخوانی,C0222663,Tissue,24
بافت نرم,C0225317,Tissue,24
برونش,C4521594,"Body Part, Organ, or Organ Component",23
برونش راست,C4521595,"Body Part, Organ, or Organ Component",23
برونش چپ,C4521596,"Body Part, Organ, or Organ Component",23
بند پروگزیمال انگشت دوم دست چپ,C0817295,"Body Part, Organ, or Organ Component",23
بند پروگزیمال انگشت دوم دست راست,C0817296,"Body Part, Organ, or Organ Component",23
بند میانی انگشت چهارم دست چپ,C0817301,"Body Part, Organ, or Organ Component",23
بند میانی انگشت چهارم دست راست,C0817302,"Body Part, Organ, or Organ Component",23
بند میانی انگشت دوم دست چپ,C0817299,"Body Part, Organ, or Organ Component",23
بند میانی انگشت دوم دست راست,C0817300,"Body Part, Organ, or Organ Component",23
پاتلای,C0817327,"Body Part, Organ, or Organ Component",23
