Term,UMLS_CUI,SemanticTypes,SemanticTypesCode
Avulsion fracture,C0332758,Injury or Poisoning,37
شکستگی انفجاری,C0332758,Injury or Poisoning,37
Chronic Lymphocytic Thyroiditis,C0677607,Disease or Syndrome,47
تیروئیدیت لنفوسیتی مزمن,C0677607,Disease or Syndrome,47
تیروئیدیت لنفوسیتی,C0677607,Disease or Syndrome,47
هاشیموتو,C0677607,Disease or Syndrome,47
تیروئیدیت هاشیموتو,C0677607,Disease or Syndrome,47
clt,C0677607,Disease or Syndrome,47
djd,C0029408,Disease or Syndrome,47
فرسودگی,C1384601,Disease or Syndrome,47
fracture,C0016658,Injury or Poisoning,37
intertrochanteric fracture,C0162385,Injury or Poisoning,37
شکستگی های اینترتروکانتریک,C0162385,Injury or Poisoning,37
osgood Schlatter,C4510961,Disease or Syndrome,47
ازگود اشلاتر,C4510961,Disease or Syndrome,47
آمفیزم زیرجلدی,C0038536,Pathologic Function,46
آمفیزم,C0038536,Pathologic Function,46
ارتشاح لنفوسایتیک,C1262091,Disease or Syndrome,47
اینفیلتریتیو,C0332448,Pathologic Function,46
ترومای,C0332666,Injury or Poisoning,37
تروما,C0332666,Injury or Poisoning,37
ضربه,C0332666,Injury or Poisoning,37
تیروئیدیت,C0040147,Disease or Syndrome,47
جابجایی,C0012691,Injury or Poisoning,37
جدا شدن,C2857255,Injury or Poisoning,37
جدا شدگی,C2857255,Injury or Poisoning,37
دررفتگی,C0012691,Injury or Poisoning,37
دررفتن,C0012691,Injury or Poisoning,37
دررفتگی خلفی,C1265658,Injury or Poisoning,37
دررفتگی قدامی,C1265658,Injury or Poisoning,37
دژنراتیو,C0011164,Pathologic Function,46
سنگ,C0006736,Body Substance,31
سنگساز,C0006736,Body Substance,31
سنگ ساز,C0006736,Body Substance,31
شکستن,C0016658,Injury or Poisoning,37
شکستگی,C0016658,Injury or Poisoning,37
لیتیک,C0221204,Pathologic Function,46
فرکچر,C0016658,Injury or Poisoning,37
گاز,C0520912,Body Substance,31
لسراسیون,C0043246,Injury or Poisoning,37
calcification,C1533591,Organ or Tissue Function,42
کلسیفیکیشن,C1533591,Organ or Tissue Function,42
آسیب,C00043246,Injury or Poisoning,37
ضایعه,C00043247,Injury or Poisoning,37
آدنوم,C0001430,Neoplastic Process,191
آدنوما,C0151430,Neoplastic Process,191
adenoma ,C0151430,Neoplastic Process,191
fx,C0151431,Neoplastic Process,192
فرکچر پروگزیمال,,,
ضایعه اسکلروتیک,,,
انحراف,,,
اسکلروتیک,,,
