Term,UMLS_CUI,SemanticTypes,SemanticTypesCode,baseType
Avulsion fracture,C0332758,Injury or Poisoning,37,شکستگی انفجاری
شکستگی انفجاری,C0332758,Injury or Poisoning,37,شکستگی انفجاری
Chronic Lymphocytic Thyroiditis,C0677607,Disease or Syndrome,47,تیروئیدیت لنفوسیت
تیروئیدیت لنفوسیتی مزمن,C0677607,Disease or Syndrome,47,تیروئیدیت لنفوسیت
تیروئیدیت لنفوسیتی,C0677607,Disease or Syndrome,47,تیروئیدیت لنفوسیت
هاشیموتو,C0677607,Disease or Syndrome,47,تیروئیدیت لنفوسیت
تیروئیدیت لنفوسیت,C0677607,Disease or Syndrome,47,تیروئیدیت لنفوسیت
تیروئیدیت هاشیموتو,C0677607,Disease or Syndrome,47,تیروئیدیت لنفوسیت
clt,C0677607,Disease or Syndrome,47,تیروئیدیت لنفوسیت
آرتروز,C0029407,Disease or Syndrome,47,آرتروز
djd,C0029408,Disease or Syndrome,47,آرتروز
فرسودگی,C1384601,Disease or Syndrome,47,فرسودگی
fracture,C0016658,Injury or Poisoning,37,شکستگی
intertrochanteric fracture,C0162385,Injury or Poisoning,37,شکستگی های اینترتروکانتریک
شکستگی های اینترتروکانتریک,C0162385,Injury or Poisoning,37,شکستگی های اینترتروکانتریک
osgood Schlatter,C4510961,Disease or Syndrome,47,ازگود اشلاتر
ازگود اشلاتر,C4510961,Disease or Syndrome,47,ازگود اشلاتر
آمفیزم زیرجلدی,C0038536,Pathologic Function,46,آمفیزم
آمفیزم,C0038536,Pathologic Function,46,آمفیزم
ارتشاح لنفوسایتیک,C1262091,Disease or Syndrome,47,ارتشاح لنفوسایتیک
اینفیلتریتیو,C0332448,Pathologic Function,46,اینفیلتریتیو
ترومای,C0332666,Injury or Poisoning,37,تروما
تروما,C0332666,Injury or Poisoning,37,تروما
ضربه,C0332666,Injury or Poisoning,37,تروما
تیروئیدیت,C0040147,Disease or Syndrome,47,تیروئیدیت
جابجایی,C0012691,Injury or Poisoning,37,جابجایی
جدا شدن,C2857255,Injury or Poisoning,37,جدا شدگی
جدا شدگی,C2857255,Injury or Poisoning,37,جدا شدگی
دررفتگی,C0012691,Injury or Poisoning,37,دررفتگی
دررفتن,C0012691,Injury or Poisoning,37,دررفتگی
دررفتگی خلفی,C1265658,Injury or Poisoning,37,دررفتگی
دررفتگی قدامی,C1265658,Injury or Poisoning,37,دررفتگی
دژنراتیو,C0011164,Pathologic Function,46,دژنراتیو
سنگ,C0006736,Body Substance,31,سنگ
سنگساز,C0006736,Body Substance,31,سنگ
سنگ ساز,C0006736,Body Substance,31,سنگ
شکستن,C0016658,Injury or Poisoning,37,شکستگی
شکستگی,C0016658,Injury or Poisoning,37,شکستگی
لیتیک,C0221204,Pathologic Function,46,لیتیک
فرکچر,C0016658,Injury or Poisoning,37,شکستگی
لسراسیون,C0043246,Injury or Poisoning,37,لسراسیون
calcification,C1533591,Organ or Tissue Function,42,کلسیفیکیشن
کلسیفیکیشن,C1533591,Organ or Tissue Function,42,کلسیفیکیشن
آسیب,C00043246,Injury or Poisoning,37,آسیب
آدنوم,C0001430,Neoplastic Process,191,آدنوما
آدنوما,C0151430,Neoplastic Process,191,آدنوما
adenoma ,C0151430,Neoplastic Process,191,آدنوما
fx,C0151431,Neoplastic Process,192,fx
فرکچر پروگزیمال,,,,شکستگی
ضایعه اسکلروتیک,,,,اسکلروتیک
انحراف,,,,انحراف
